request,tool_call
"Tools: create_calendar_event(title, when, attendees), reschedule_event(event_id, new_when), cancel_event(event_id). Request: Cancel event evt_8821 — the customer pushed.","{""tool"": ""cancel_event"", ""args"": {""event_id"": ""evt_8821""}}"
"Tools: create_calendar_event(title, when, attendees), reschedule_event(event_id, new_when), cancel_event(event_id). Request: Move event evt_5570 to next Thursday at 10am.","{""tool"": ""reschedule_event"", ""args"": {""event_id"": ""evt_5570"", ""new_when"": ""next Thursday 10am""}}"
"Tools: list_orders(customer_id), refund_order(order_id, amount). Request: Refund order ord_1010 fully — $129.","{""tool"": ""refund_order"", ""args"": {""order_id"": ""ord_1010"", ""amount"": 129}}"
"Tools: list_orders(customer_id), refund_order(order_id, amount). Request: Show me orders for customer cus_4422.","{""tool"": ""list_orders"", ""args"": {""customer_id"": ""cus_4422""}}"
"Tools: send_sms(to, body), call_phone(to). Request: Text +1-415-555-1212 'Your appointment is confirmed.'","{""tool"": ""send_sms"", ""args"": {""to"": ""+1-415-555-1212"", ""body"": ""Your appointment is confirmed.""}}"
"Tools: send_sms(to, body), call_phone(to). Request: Dial +44-20-7946-0958.","{""tool"": ""call_phone"", ""args"": {""to"": ""+44-20-7946-0958""}}"
"Tools: send_sms(to, body), call_phone(to). Request: lol nice","{""tool"": ""none"", ""args"": {}}"
"Tools: get_metric(name, range). Request: What's our p99 latency over the last hour?","{""tool"": ""get_metric"", ""args"": {""name"": ""p99_latency"", ""range"": ""1h""}}"
"Tools: get_metric(name, range). Request: Show error rate for the last 24 hours.","{""tool"": ""get_metric"", ""args"": {""name"": ""error_rate"", ""range"": ""24h""}}"
"Tools: get_metric(name, range). Request: How are you today?","{""tool"": ""none"", ""args"": {}}"
"Tools: archive_channel(name), invite_user(channel, user). Request: Invite ben to the #project-zeus channel.","{""tool"": ""invite_user"", ""args"": {""channel"": ""#project-zeus"", ""user"": ""ben""}}"
"Tools: archive_channel(name), invite_user(channel, user). Request: Archive #old-launch-prep, we're done with it.","{""tool"": ""archive_channel"", ""args"": {""name"": ""#old-launch-prep""}}"
"Tools: archive_channel(name), invite_user(channel, user). Request: That sounds great, thanks!","{""tool"": ""none"", ""args"": {}}"
